 BAFTA Interactive Entertainment Awards,,,,,,,,
Game On Any Platform 2004,,,,,,Genre,,
#1,Call Of Duty,,,,,FPS,,
เข้าชิง,-,,,,,,,
http://awards.bafta.org/award/2004/games/game-on-any-platform-the-years-best-game,,,,,,,,
,,,,,,,,
D.I.C.E. Awards,,,,,,,,
Game | Best Game in 2004,,,,,,Genre,,
#1,Call of Duty,,,,,FPS,,
เข้าชิง,Command&Conquer: Generals,,,,,real-time strategy,,
เข้าชิง,Max Payne 2: The Fall of Max Payne,,,,,third-person shooter,,
เข้าชิง,Prince of Persia: The Sands of Time,,,,,Action-adventure,,
เข้าชิง,Ratchet & Clank Going Commando,,,,,Platformer,,
https://www.interactive.org/awards/award_category_details.asp?idAward=2004&idGameAwardType=65,,,,,,,,
,,,,,,,,
GameRanking,,,,,,,,
Top Ranking 2004,,,,,genre,,,
#1,Half-Life 2,,,,FPS,,,
#2,Grand Theft Auto: San Andreas,,,,Action/Adventure,,,
#3,Halo 2,,,,FPS,,,
#4,Burnout 3: Takedown,,,,Racing,,,PS2
#5,Burnout 3: Takedown,,,,Racing,,,XBOX
#6,World Soccer Winning Eleven 7 International,,,,Sports,,,
#7,Unreal Tournament 2004,,,,FPS,,,
#8,Ninja Gaiden,,,,Action/Adventure,,,
#9,Tom Clancy's Splinter Cell Pandora Tomorrow,,,,Stealth,,,
#10,World of Warcraft,,,,Role-playing,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2004&numrev=0&sort=0&letter=&search=,,,,,,,,
