1,Resident Evil 4,Survival horror,PS2,95.85%
2,Resident Evil 4,Survival horror,GC,95.83%
3,Ninja Gaiden Black,Action-adventure,XBOX,94.76%
4,Tom Clancy's Splinter Cell: Chaos Theory,Stealth,XBOX,94.02%
5,God of War,Action-adventure,PS2,93.58%
6,Sid Meier's   Civilization IV,Turn-based strategy,PC,93.36%
7,Forza Motorsport,Racing,XBOX,93.05%
8,Grand Theft Auto: San Andreas,Action-adventure,XBOX,92.29%
9,Guitar Hero,"Music, Rhythm",PS2,91.96%
10,Grand Theft Auto: San Andreas,Action-adventure,PC,91.94%
